role,title,company,city,location,description,skills,skill_count,combined_text,education,job_mode,experience_min,experience_max,days_ago,posted_date,salary_raw,salary_min,salary_max,salary_estimate,source,extracted_skills,extracted_skill_count
Data Analyst,Data Analyst | ETL | Informatica - Hyderabad (Female candidates),Infosys,Hyderabad,"Hyderabad, India",ETL Etl Pipelines Data Quality Data Pipeline Informatica Data Warehousing Data Modeling Data Integration,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau ETL Etl Pipelines Data Quality Data Pipeline Informatica Data Warehousing Data Modeling Data Integration B.Tech On-site Hyderabad",B.Tech,On-site,3,5,2,2 days ago,Not Disclosed,,,630000,Naukri,r,1
Data Analyst,Data Analyst,Mnc Group,Gurugram,"Gurugram(Cyber City), India",Power Bi Advanced Excel Data Analytics SQL Communication Skills Excel Data Analysis Analytics,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Power Bi Advanced Excel Data Analytics SQL Communication Skills Excel Data Analysis Analytics B.Tech On-site Gurugram",B.Tech,On-site,0,0,7,1 week ago,6 Lacs PA,,,600000,Naukri,"data analysis, power bi, excel, sql, r",5
Data Analyst,Data Analyst,Bp,Pune,"Pune, India",Data Analysis data analytics data interpretation Power BI data reporting data visualization Databricks machine learning,"data analysis, excel, machine learning, power bi, python, sql, statistics, tableau",8,"Data Analyst data analysis, excel, machine learning, power bi, python, sql, statistics, tableau Data Analysis data analytics data interpretation Power BI data reporting data visualization Databricks machine learning B.Tech On-site Pune",B.Tech,On-site,3,5,4,4 days ago,Not Disclosed,,,630000,Naukri,"machine learning, data analysis, power bi, r",4
Data Analyst,Data Analyst,Black Box,Bengaluru,"Bengaluru, India",Data Analysis Data Analytics Data Reporting Analytics Analysis Data Reporting,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Data Analysis Data Analytics Data Reporting Analytics Analysis Data Reporting B.Tech On-site Bengaluru",B.Tech,On-site,4,8,5,5 days ago,5-10 Lacs PA,500000.0,1000000.0,750000,Naukri,"data analysis, r",2
Data Analyst,Data Analyst,Shell Info Technologies,Other,India,Pandas Data Visualization Data Analytics Numpy Python Google Sheets Advanced Excel Sheet,"data analysis, excel, numpy, pandas, power bi, python, sql, statistics, tableau",9,"Data Analyst data analysis, excel, numpy, pandas, power bi, python, sql, statistics, tableau Pandas Data Visualization Data Analytics Numpy Python Google Sheets Advanced Excel Sheet B.Tech On-site India",B.Tech,On-site,5,10,3,3 days ago,8-18 Lacs PA,800000.0,1800000.0,1300000,Naukri,"numpy, excel, python, pandas",4
Data Analyst,Data Analyst,Shravas Technologies India,Bengaluru,"Bengaluru, India",Power Bi SQL R Snowflake Data Analytics Business Intelligence Bi Power Query,"data analysis, excel, power bi, python, r, snowflake, sql, statistics, tableau",9,"Data Analyst data analysis, excel, power bi, python, r, snowflake, sql, statistics, tableau Power Bi SQL R Snowflake Data Analytics Business Intelligence Bi Power Query B.Tech On-site Bengaluru",B.Tech,On-site,2,3,4,4 days ago,3.5-5 Lacs PA,350000.0,500000.0,425000,Naukri,"sql, power bi, r",3
Data Analyst,Data Analyst,Mnc,Pune,"Pimpri-Chinchwad, Pune, India",Google Sheets Power Bi MS Office SQL Data Analytics Large Databases Google Data Studio data vis,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Google Sheets Power Bi MS Office SQL Data Analytics Large Databases Google Data Studio data vis B.Tech On-site Pune",B.Tech,On-site,0,2,2,2 days ago,2.75-5 Lacs PA,275000.0,500000.0,387500,Naukri,"sql, power bi, r",3
Data Analyst,Data Analyst,Narayana Health (Nh),Bengaluru,"Hybrid - Bengaluru, India",Data Visualization Data Analytics SQL Power BI Problem Solving Tableau Python Data analysis,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Data Visualization Data Analytics SQL Power BI Problem Solving Tableau Python Data analysis B.Tech Hybrid Bengaluru",B.Tech,Hybrid,0,1,2,2 days ago,Not Disclosed,,,450000,Naukri,"data analysis, power bi, sql, python, tableau, r",6
Data Analyst,Data Analyst,Capco,Bengaluru,"Gurugram, Bengaluru, India",Data analysis Automation Management consulting Test scenarios Data Analyst Data quality Financial services Balance Sheet,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Data analysis Automation Management consulting Test scenarios Data Analyst Data quality Financial services Balance Sheet B.Tech On-site Bengaluru",B.Tech,On-site,0,7,2,2 days ago,Not Disclosed,,,450000,Naukri,"data analysis, r",2
Data Analyst,Data Analyst - US Shift,Morningstar,Mumbai,"Navi Mumbai, India",bi pfmea equity research sql operations fmea writing,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau bi pfmea equity research sql operations fmea writing B.Tech On-site Mumbai",B.Tech,On-site,0,2,7,1 week ago,Not Disclosed,,,450000,Naukri,"sql, r",2
Data Analyst,Data Analyst,Stripe,Bengaluru,"Bengaluru, India",Usage data science Business Analyst spark Data Analyst Data analytics Business intelligence SQL,"data analysis, excel, power bi, python, spark, sql, statistics, tableau",8,"Data Analyst data analysis, excel, power bi, python, spark, sql, statistics, tableau Usage data science Business Analyst spark Data Analyst Data analytics Business intelligence SQL B.Tech On-site Bengaluru",B.Tech,On-site,3,8,7,1 week ago,Not Disclosed,,,630000,Naukri,"sql, spark, r",3
Data Analyst,Data Analyst,Finesse Stock Broking Services,Jaipur,"Jaipur, India",Power Bi Stock Market Advanced Excel Data Analytics Python Data Analytics Data analysis,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Power Bi Stock Market Advanced Excel Data Analytics Python Data Analytics Data analysis B.Tech On-site Jaipur",B.Tech,On-site,1,2,7,1 week ago,2.75-4 Lacs PA,275000.0,400000.0,337500,Naukri,"data analysis, power bi, excel, python, r",5
Data Analyst,Data Analyst,The Hackett Group,Hyderabad,"Hyderabad, India",data analytics EDA Exploratory Data Analysis Power Bi Advanced Excel SPSS R Program Python,"data analysis, excel, power bi, python, r, sql, statistics, tableau",8,"Data Analyst data analysis, excel, power bi, python, r, sql, statistics, tableau data analytics EDA Exploratory Data Analysis Power Bi Advanced Excel SPSS R Program Python B.Tech On-site Hyderabad",B.Tech,On-site,2,5,7,1 week ago,6-8 Lacs PA,600000.0,800000.0,700000,Naukri,"data analysis, power bi, excel, python, r",5
Data Analyst,Data Analyst,Cgi,Hyderabad,"Hybrid - Hyderabad, India",Data Analytics SQL Python Data analysis Analytics Data,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Data Analytics SQL Python Data analysis Analytics Data B.Tech Hybrid Hyderabad",B.Tech,Hybrid,5,7,7,1 week ago,8-18 Lacs PA,800000.0,1800000.0,1300000,Naukri,"sql, python, data analysis",3
Data Analyst,Data Analyst - Data Remediation,Capco,Mumbai,"Mumbai, India",PLM AutoCAD Control system System design REVIT Manager Quality Control Fire protection Technical support,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau PLM AutoCAD Control system System design REVIT Manager Quality Control Fire protection Technical support B.Tech On-site Mumbai",B.Tech,On-site,2,7,5,5 days ago,Not Disclosed,,,570000,Naukri,r,1
Data Analyst,Data Analyst,Tuv Rheinland,Bengaluru,"Bengaluru(Electronics City Phase 1), India",Communication Skills Power Bi Master Data Management Data Visualization Data Analytics Data Modeling Tableau Dashboards,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Communication Skills Power Bi Master Data Management Data Visualization Data Analytics Data Modeling Tableau Dashboards B.Tech On-site Bengaluru",B.Tech,On-site,4,8,7,1 week ago,Not Disclosed,,,690000,Naukri,"power bi, tableau, r",3
Data Analyst,Data Analyst,Tmf Group,Pune,"Hybrid - Pune, India",Power Bi Data Analysis Advanced Excel Bi Tools Data Analytics SQL Excel Analytics,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Power Bi Data Analysis Advanced Excel Bi Tools Data Analytics SQL Excel Analytics B.Tech Hybrid Pune",B.Tech,Hybrid,4,9,7,1 week ago,Not Disclosed,,,690000,Naukri,"data analysis, power bi, excel, sql, r",5
Data Analyst,Automation & Data - Analyst,Jpmorgan Chase Bank,Bengaluru,"Bengaluru, India",Change management Automation metadata Data management Financial reporting Senior Executive Access management Analytical,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Change management Automation metadata Data management Financial reporting Senior Executive Access management Analytical B.Tech On-site Bengaluru",B.Tech,On-site,3,8,3,3 days ago,Not Disclosed,,,630000,Naukri,r,1
Data Analyst,Data Analyst ETL & Informatica- sv,Infosys,Hyderabad,"Hybrid - Hyderabad, India",Informatica ETL Data Analytics SQL Analytics Data Sv,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Informatica ETL Data Analytics SQL Analytics Data Sv B.Tech Hybrid Hyderabad",B.Tech,Hybrid,3,8,4,4 days ago,Not Disclosed,,,630000,Naukri,"sql, r",2
Data Analyst,Data Analyst,Black And White Business Solution,Bengaluru,"Hyderabad, Bengaluru, India",Tableau Data Analytics SQL Snowflake Data Bricks Data analysis Bricks Analytics,"data analysis, excel, power bi, python, snowflake, sql, statistics, tableau",8,"Data Analyst data analysis, excel, power bi, python, snowflake, sql, statistics, tableau Tableau Data Analytics SQL Snowflake Data Bricks Data analysis Bricks Analytics B.Tech On-site Bengaluru",B.Tech,On-site,8,13,7,1 week ago,10-20 Lacs PA,1000000.0,2000000.0,1500000,Naukri,"data analysis, sql, tableau, r",4
Data Analyst,Data Analyst,Fintech Cloud,Noida,"Noida(Sector 63), India",Python Metabase Data Engineering Power Bi Data Visualization Tableau Data Analytics ETL,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Python Metabase Data Engineering Power Bi Data Visualization Tableau Data Analytics ETL B.Tech On-site Noida",B.Tech,On-site,3,7,5,5 days ago,4-9 Lacs PA,400000.0,900000.0,650000,Naukri,"power bi, python, tableau, r",4
Data Analyst,Data Analyst,Ibs Software Services,Chennai,"Kochi, Chennai, India",python data analysis data analytics data management data mining power bi pivot table business analysis,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau python data analysis data analytics data management data mining power bi pivot table business analysis B.Tech On-site Chennai",B.Tech,On-site,2,3,2,2 days ago,Not Disclosed,,,570000,Naukri,"power bi, data analysis, python, r",4
Data Analyst,Data Analyst 3,Lam Research,Bengaluru,"Bengaluru, India",Supply chain Automation Data analysis Business analytics Flex power bi Troubleshooting Data mining,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Supply chain Automation Data analysis Business analytics Flex power bi Troubleshooting Data mining B.Tech On-site Bengaluru",B.Tech,On-site,7,9,1,1 day ago,Not Disclosed,,,870000,Naukri,"data analysis, power bi, r",3
Data Analyst,DATA ANALYST WITH DATA OBSERVABILITY,Atos,Bengaluru,"Bengaluru, India",Data analysis Pharma Analytical Diversity and Inclusion Data Analyst Life sciences high performance computing Stakeholder management,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Data analysis Pharma Analytical Diversity and Inclusion Data Analyst Life sciences high performance computing Stakeholder management B.Tech On-site Bengaluru",B.Tech,On-site,5,10,2,2 days ago,Not Disclosed,,,750000,Naukri,"data analysis, r",2
Data Analyst,Data Analyst,Latentview,Bengaluru,"Hyderabad, Gurugram, Bengaluru, India",Tableau SQL Predictive Modeling Time Series Analysis Data Analysis Ab Testing Statistics Python,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Tableau SQL Predictive Modeling Time Series Analysis Data Analysis Ab Testing Statistics Python B.Tech On-site Bengaluru",B.Tech,On-site,4,7,1,1 day ago,Not Disclosed,,,690000,Naukri,"data analysis, sql, python, tableau, r, statistics",6
Data Analyst,Data Analyst,Ada Global,Bengaluru,"Bengaluru, India",python data analysis data analytics power bi data warehousing dashboards business intelligence sql,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau python data analysis data analytics power bi data warehousing dashboards business intelligence sql B.Tech On-site Bengaluru",B.Tech,On-site,0,1,30,3+ weeks ago,Not Disclosed,,,450000,Naukri,"data analysis, power bi, sql, python, r",5
Data Analyst,Data Analyst (AI & Data Platform),"Everbridge, Inc.",Bengaluru,"Bengaluru, India",Data analysis Coding Business analytics Analytical Workflow Business intelligence Forecasting Analytics,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Data analysis Coding Business analytics Analytical Workflow Business intelligence Forecasting Analytics B.Tech On-site Bengaluru",B.Tech,On-site,2,5,3,3 days ago,Not Disclosed,,,570000,Naukri,"data analysis, r",2
Data Analyst,Data Analyst,Cubesolutionsdata,Other,India,python macros data analysis data analytics data management data mining predictive analytics power bi,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau python macros data analysis data analytics data management data mining predictive analytics power bi B.Tech On-site India",B.Tech,On-site,1,3,7,1 week ago,Not Disclosed,,,510000,Naukri,"power bi, data analysis, python, r",4
Data Analyst,Analyst/Data Analyst - Val Rsch,Eclerx,Coimbatore,"Coimbatore, India",linguistics language teaching data analysis data analytics analytical data validation verbal communication problem solving,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau linguistics language teaching data analysis data analytics analytical data validation verbal communication problem solving B.Tech On-site Coimbatore",B.Tech,On-site,0,2,21,3 weeks ago,Not Disclosed,,,450000,Naukri,"data analysis, r",2
Data Analyst,Data Analyst,Caterpillar Signs,Other,India,VBA Tableau Macors Data Analytics SQL Power Bi Bi Data Analysis,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau VBA Tableau Macors Data Analytics SQL Power Bi Bi Data Analysis B.Tech On-site India",B.Tech,On-site,5,10,7,1 week ago,5-12 Lacs PA,500000.0,1200000.0,850000,Naukri,"data analysis, power bi, sql, tableau, r",5
Data Analyst,Data Privacy Analyst,Max Healthcare,Gurugram,"Gurugram, India",Procurement Computer science Legal compliance Information security Analytical Healthcare Risk management Stakeholder management,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Procurement Computer science Legal compliance Information security Analytical Healthcare Risk management Stakeholder management B.Tech On-site Gurugram",B.Tech,On-site,0,2,3,3 days ago,Not Disclosed,,,450000,Naukri,r,1
Data Analyst,Data Analyst,Pico Xpress,Bengaluru,"Bengaluru, India",data analyst data pipelines Data management Data Analysis Data Pipeline Management Data Pipeline,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau data analyst data pipelines Data management Data Analysis Data Pipeline Management Data Pipeline B.Tech On-site Bengaluru",B.Tech,On-site,3,5,5,5 days ago,Not Disclosed,,,630000,Naukri,data analysis,1
Data Analyst,Data Analyst,Bootcoding,Nagpur,"Nagpur, India",python macros data analysis data analytics data management data mining predictive analytics power bi,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau python macros data analysis data analytics data management data mining predictive analytics power bi B.Tech On-site Nagpur",B.Tech,On-site,1,6,7,1 week ago,Not Disclosed,,,510000,Naukri,"power bi, data analysis, python, r",4
Data Analyst,Data Analyst - 10th April - Virtual Interview - Pan India,Tata Consultancy Services,Bengaluru,"India, Bengaluru, Mumbai (All Areas)",Power Bi Tableau Data Analytics Data analysis Analytics Pan Data Bi,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Power Bi Tableau Data Analytics Data analysis Analytics Pan Data Bi B.Tech On-site Bengaluru",B.Tech,On-site,7,12,7,1 week ago,Not Disclosed,,,870000,Naukri,"data analysis, power bi, tableau, r",4
Data Analyst,Data Analyst,L&T Technology Services (Ltts),Bengaluru,"Bengaluru, India",Oil And Gas Data Analytics Opc Ua Gas OPC Analytics Data Oil,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Oil And Gas Data Analytics Opc Ua Gas OPC Analytics Data Oil B.Tech On-site Bengaluru",B.Tech,On-site,14,20,7,1 week ago,25-40 Lacs PA,2500000.0,4000000.0,3000000,Naukri,,0
Data Analyst,Data Analyst,Viaprom Technologies,Bengaluru,"Bengaluru, India",data analyst python data analysis mathematics version control data processing power bi numpy,"data analysis, excel, numpy, power bi, python, sql, statistics, tableau",8,"Data Analyst data analysis, excel, numpy, power bi, python, sql, statistics, tableau data analyst python data analysis mathematics version control data processing power bi numpy B.Tech On-site Bengaluru",B.Tech,On-site,2,4,3,3 days ago,Not Disclosed,,,570000,Naukri,"data analysis, power bi, python, r, numpy",5
Data Analyst,Data Analyst,Net2Source,Bengaluru,"Bengaluru, India",Power Bi Tableau Python Data Analytics Data Analytics Data analysis Bi,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Power Bi Tableau Python Data Analytics Data Analytics Data analysis Bi B.Tech On-site Bengaluru",B.Tech,On-site,4,6,7,1 week ago,Not Disclosed,,,690000,Naukri,"data analysis, power bi, python, tableau, r",5
Data Analyst,Data Analyst (IoT),Log9 Materials,Bengaluru,"Bengaluru, India",SAS big data analytics Data Analyst Customer service Business intelligence Macros Analytics Reporting tools,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau SAS big data analytics Data Analyst Customer service Business intelligence Macros Analytics Reporting tools B.Tech On-site Bengaluru",B.Tech,On-site,0,6,30,3+ weeks ago,Not Disclosed,,,450000,Naukri,r,1
Data Analyst,Statistician/Data Analyst,Two95 International,Bengaluru,"Bengaluru, India",GIS Data analysis Data validation Analytical power bi Data Analyst Data analytics data visualization,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau GIS Data analysis Data validation Analytical power bi Data Analyst Data analytics data visualization B.Tech On-site Bengaluru",B.Tech,On-site,5,10,7,1 week ago,Not Disclosed,,,750000,Naukri,"data analysis, power bi, r",3
Data Analyst,Data Analyst,Ocwen Financial Corporation,Bengaluru,"Hybrid - Pune, Bengaluru, India",Metadata Stewardship Analytics SQL Data analysis Data,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Metadata Stewardship Analytics SQL Data analysis Data B.Tech Hybrid Bengaluru",B.Tech,Hybrid,6,8,3,3 days ago,Not Disclosed,,,810000,Naukri,"data analysis, sql, r",3
Data Analyst,Data Analyst,Syneos Health,Gurugram,"Gurugram, India",Career development Field operations Pharma Agile Healthcare Life sciences HTTP Business intelligence,"agile, data analysis, excel, power bi, python, sql, statistics, tableau",8,"Data Analyst agile, data analysis, excel, power bi, python, sql, statistics, tableau Career development Field operations Pharma Agile Healthcare Life sciences HTTP Business intelligence B.Tech On-site Gurugram",B.Tech,On-site,3,8,1,1 day ago,Not Disclosed,,,630000,Naukri,r,1
Data Analyst,Data Governance Analyst,Careernet,Bengaluru,"Bengaluru, India",Collibra Metadata Data Steward Data Analyst Data Governance Data Management Data Management,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Collibra Metadata Data Steward Data Analyst Data Governance Data Management Data Management B.Tech On-site Bengaluru",B.Tech,On-site,4,7,1,1 day ago,Not Disclosed,,,690000,Naukri,r,1
Data Analyst,Data Analyst,Cantik Technologies Pvt Ltd,Bengaluru,"Hyderabad, Bengaluru, India",Data Analysis FX Data Governance Trade Finance Corporate Lending Swaps Treasury Data Flow,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Data Analysis FX Data Governance Trade Finance Corporate Lending Swaps Treasury Data Flow B.Tech On-site Bengaluru",B.Tech,On-site,7,15,2,2 days ago,Not Disclosed,,,870000,Naukri,"data analysis, r",2
Data Analyst,Data Analyst,Persistent,Pune,"Pune, India",database stakeholder engagement skills Data Analyst Data Stakeholder Engagement Data analysis Engagement DBMS,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau database stakeholder engagement skills Data Analyst Data Stakeholder Engagement Data analysis Engagement DBMS B.Tech On-site Pune",B.Tech,On-site,5,8,1,1 day ago,Not Disclosed,,,750000,Naukri,"data analysis, r",2
Data Analyst,Data analyst,Hinduja Housing Finance,Chennai,"Chennai, India",Power BI Data Visualization Tableau Looker SQL Excel Qlik sense Dashboards,"data analysis, excel, looker, power bi, python, sql, statistics, tableau",8,"Data Analyst data analysis, excel, looker, power bi, python, sql, statistics, tableau Power BI Data Visualization Tableau Looker SQL Excel Qlik sense Dashboards B.Tech On-site Chennai",B.Tech,On-site,3,7,2,2 days ago,Not Disclosed,,,630000,Naukri,"power bi, excel, sql, tableau, r",5
Data Analyst,Hiring For Data Analyst,Virtusa,Hyderabad,"Hyderabad, India",Bigquery Csv Data Analyst JSON Tableau Looker SQL Data,"bigquery, data analysis, excel, looker, power bi, python, sql, statistics, tableau",9,"Data Analyst bigquery, data analysis, excel, looker, power bi, python, sql, statistics, tableau Bigquery Csv Data Analyst JSON Tableau Looker SQL Data B.Tech On-site Hyderabad",B.Tech,On-site,5,10,3,3 days ago,6.5-16.5 Lacs PA,650000.0,1650000.0,1150000,Naukri,"sql, tableau, r",3
